x y z
10.0000 75.3000 -150.0000
20.0000 71.3300 -150.0000
30.0000 66.4200 -150.0000
40.0000 61.2800 -150.0000
50.0000 55.9600 -150.0000
60.0000 48.9600 -150.0000
70.0000 42.3100 -150.0000
80.0000 35.9900 -150.0000
90.0000 29.6000 -150.0000
100.0000 23.5800 -150.0000
110.0000 19.4600 -150.0000
120.0000 15.9500 -150.0000
130.0000 12.5600 -150.0000
170.0000 6.2800 -150.0000
180.0000 5.3300 -150.0000
190.0000 4.5500 -150.0000
200.0000 3.6900 -150.0000
210.0000 2.9100 -150.0000
220.0000 2.5700 -150.0000
230.0000 2.3400 -150.0000
240.0000 2.5800 -150.0000
250.0000 2.4600 -150.0000
260.0000 2.3500 -150.0000
270.0000 2.3600 -150.0000
280.0000 2.7500 -150.0000
290.0000 3.2400 -150.0000
10.0000 76.8000 -150.0000
20.0000 72.8300 -150.0000
30.0000 67.9200 -150.0000
40.0000 62.7800 -150.0000
50.0000 57.4600 -150.0000
60.0000 50.4600 -150.0000
70.0000 43.8100 -150.0000
80.0000 37.4900 -150.0000
90.0000 31.1000 -150.0000
100.0000 25.0800 -150.0000
110.0000 20.9600 -150.0000
120.0000 17.4500 -150.0000
130.0000 14.0600 -150.0000
170.0000 7.7800 -150.0000
180.0000 6.8300 -150.0000
190.0000 6.0500 -150.0000
200.0000 5.1900 -150.0000
210.0000 4.4100 -150.0000
220.0000 4.0700 -150.0000
230.0000 3.8400 -150.0000
240.0000 4.0800 -150.0000
250.0000 3.9600 -150.0000
260.0000 3.8500 -150.0000
270.0000 3.8600 -150.0000
280.0000 4.2500 -150.0000
290.0000 4.7400 -150.0000
10.0000 78.8000 -150.0000
20.0000 74.8300 -150.0000
30.0000 69.9200 -150.0000
40.0000 64.7800 -150.0000
50.0000 59.4600 -150.0000
60.0000 52.4600 -150.0000
70.0000 45.8100 -150.0000
80.0000 39.4900 -150.0000
90.0000 33.1000 -150.0000
100.0000 27.0800 -150.0000
110.0000 22.9600 -150.0000
120.0000 19.4500 -150.0000
130.0000 16.0600 -150.0000
170.0000 9.7800 -150.0000
180.0000 8.8300 -150.0000
190.0000 8.0500 -150.0000
200.0000 7.1900 -150.0000
210.0000 6.4100 -150.0000
220.0000 6.0700 -150.0000
230.0000 5.8400 -150.0000
240.0000 6.0800 -150.0000
250.0000 5.9600 -150.0000
260.0000 5.8500 -150.0000
270.0000 5.8600 -150.0000
280.0000 6.2500 -150.0000
290.0000 6.7400 -150.0000
10.0000 83.8000 -150.0000
20.0000 79.8300 -150.0000
30.0000 74.9200 -150.0000
40.0000 69.7800 -150.0000
50.0000 64.4600 -150.0000
60.0000 57.4600 -150.0000
70.0000 50.8100 -150.0000
80.0000 44.4900 -150.0000
90.0000 38.1000 -150.0000
100.0000 32.0800 -150.0000
110.0000 27.9600 -150.0000
120.0000 24.4500 -150.0000
130.0000 21.0600 -150.0000
170.0000 14.7800 -150.0000
180.0000 13.8300 -150.0000
190.0000 13.0500 -150.0000
200.0000 12.1900 -150.0000
210.0000 11.4100 -150.0000
220.0000 11.0700 -150.0000
230.0000 10.8400 -150.0000
240.0000 11.0800 -150.0000
250.0000 10.9600 -150.0000
260.0000 10.8500 -150.0000
270.0000 10.8600 -150.0000
280.0000 11.2500 -150.0000
290.0000 11.7400 -150.0000
10.0000 93.8000 -150.0000
20.0000 89.8300 -150.0000
30.0000 84.9200 -150.0000
40.0000 79.7800 -150.0000
50.0000 74.4600 -150.0000
60.0000 67.4600 -150.0000
70.0000 60.8100 -150.0000
80.0000 54.4900 -150.0000
90.0000 48.1000 -150.0000
100.0000 42.0800 -150.0000
110.0000 37.9600 -150.0000
120.0000 34.4500 -150.0000
130.0000 31.0600 -150.0000
170.0000 24.7800 -150.0000
180.0000 23.8300 -150.0000
190.0000 23.0500 -150.0000
200.0000 22.1900 -150.0000
210.0000 21.4100 -150.0000
220.0000 21.0700 -150.0000
230.0000 20.8400 -150.0000
240.0000 21.0800 -150.0000
250.0000 20.9600 -150.0000
260.0000 20.8500 -150.0000
270.0000 20.8600 -150.0000
280.0000 21.2500 -150.0000
290.0000 21.7400 -150.0000
250.0000 9.1200 -150.0000
249.9375 12.6558 -150.0000
249.7500 16.1873 -150.0000
249.4377 19.7099 -150.0000
249.0011 23.2192 -150.0000
248.4406 26.7109 -150.0000
247.7571 30.1806 -150.0000
246.9513 33.6240 -150.0000
246.0242 37.0367 -150.0000
244.9771 40.4146 -150.0000
243.8112 43.7532 -150.0000
242.5279 47.0486 -150.0000
241.1290 50.2965 -150.0000
239.6161 53.4930 -150.0000
237.9911 56.6339 -150.0000
236.2560 59.7154 -150.0000
234.4131 62.7337 -150.0000
232.4646 65.6849 -150.0000
230.4130 68.5653 -150.0000
228.2608 71.3715 -150.0000
226.0108 74.0997 -150.0000
223.6656 76.7467 -150.0000
221.2284 79.3091 -150.0000
218.7021 81.7838 -150.0000
216.0898 84.1675 -150.0000
213.3949 86.4574 -150.0000
210.6208 88.6506 -150.0000
207.7708 90.7444 -150.0000
204.8485 92.7360 -150.0000
201.8577 94.6231 -150.0000
198.8020 96.4032 -150.0000
195.6853 98.0742 -150.0000
192.5114 99.6340 -150.0000
189.2844 101.0805 -150.0000
186.0083 102.4120 -150.0000
182.6871 103.6269 -150.0000
