"p","Points:0","Points:1","Points:2"
-0.00038648,250,9.12,-150
-0.00017388,249.94,12.656,-150
-0.00014232,249.75,16.187,-150
6.4352e-05,249.44,19.71,-150
0.00014163,249,23.219,-150
-9.7398e-05,248.44,26.711,-150
-0.00029546,247.76,30.181,-150
1.6472e-05,246.95,33.624,-150
-0.00015113,246.02,37.037,-150
-0.00036214,244.98,40.415,-150
-0.0004908,243.81,43.753,-150
-0.00041521,242.53,47.049,-150
-0.00016489,241.13,50.297,-150
0.001225,239.62,53.493,-150
0.0008273,237.99,56.634,-150
0.00095977,236.26,59.715,-150
0.0012872,234.41,62.734,-150
0.00091954,232.46,65.685,-150
-0.00018018,230.41,68.565,-150
0.00021993,228.26,71.371,-150
-3.129e-05,226.01,74.1,-150
0.00070793,223.67,76.747,-150
0.0020552,221.23,79.309,-150
0.00016978,218.7,81.784,-150
0.00058313,216.09,84.168,-150
0.00062903,213.39,86.457,-150
0.0014018,210.62,88.651,-150
0.00088617,207.77,90.744,-150
0.00063363,204.85,92.736,-150
0.00032191,201.86,94.623,-150
-3.1126e-05,198.8,96.403,-150
-0.00019101,195.69,98.074,-150
0.00019495,192.51,99.634,-150
-9.7299e-06,189.28,101.08,-150
-4.5793e-05,186.01,102.41,-150
0.0004524,182.69,103.63,-150
1.3244e-05,179.32,104.72,-150
0.00026135,175.93,105.7,-150
0.00015697,172.5,106.56,-150
0.00016874,169.04,107.29,-150
0.00014746,165.55,107.9,-150
0.00024616,162.05,108.39,-150
0.0001927,158.53,108.76,-150
-6.9596e-05,155,108.99,-150
-0.00015326,151.47,109.11,-150
-0.00011419,147.93,109.1,-150
7.2898e-05,144.4,108.96,-150
0.00029818,140.87,108.7,-150
6.007e-05,137.36,108.32,-150
0.00087156,133.86,107.81,-150
0.00033824,130.38,107.18,-150
5.3908e-05,126.92,106.42,-150
0.00014631,123.5,105.54,-150
0.00071974,120.1,104.55,-150
-3.2102e-05,116.75,103.43,-150
3.7903e-05,113.44,102.2,-150
0.00066632,110.17,100.84,-150
-0.00018632,106.95,99.379,-150
0.00023489,103.78,97.8,-150
0.00012081,100.68,96.11,-150
3.0418e-05,97.633,94.312,-150
0.00061628,94.653,92.407,-150
0.00036725,91.743,90.398,-150
0.00069038,88.906,88.287,-150
0.00063652,86.144,86.078,-150
0.00057488,83.463,83.772,-150
0.00075759,80.865,81.372,-150
8.6383e-05,78.354,78.883,-150
0.00058477,75.932,76.306,-150
7.0934e-05,73.603,73.645,-150
0.00025766,71.369,70.903,-150
-0.00024488,69.234,68.084,-150
0.00027818,67.199,65.192,-150
0.00014678,65.268,62.229,-150
0.00046941,63.443,59.2,-150
0.00022747,61.727,56.108,-150
-9.0445e-05,60.121,52.957,-150
-2.6548e-05,200,9.12,-150
-8.9527e-05,199.97,10.887,-150
0.00023418,199.88,12.652,-150
0.0011366,199.72,14.412,-150
0.0015915,199.5,16.166,-150
0.0019859,199.22,17.911,-150
0.0013134,198.88,19.645,-150
0.00057357,198.48,21.366,-150
-0.00081416,198.01,23.072,-150
-0.00079388,197.49,24.76,-150
-6.0877e-05,196.91,26.428,-150
-0.0025238,196.27,28.075,-150
-0.0031765,195.57,29.699,-150
0.00011316,194.81,31.296,-150
0.0014608,194,32.866,-150
0.00027199,193.13,34.406,-150
0.0012864,192.21,35.915,-150
0.0015427,191.24,37.39,-150
0.00066872,190.22,38.83,-150
0.0014497,189.14,40.233,-150
0.0012169,188.02,41.597,-150
0.00016359,186.85,42.92,-150
0.00077845,185.63,44.201,-150
0.00028757,184.37,45.438,-150
-1.9569e-05,183.06,46.63,-150
0.002089,181.71,47.775,-150
-0.0010117,180.33,48.872,-150
0.0034315,178.9,49.919,-150
0.00057899,177.44,50.915,-150
-0.0027185,175.95,51.858,-150
-0.0012701,174.42,52.749,-150
-0.0012602,172.87,53.585,-150
-0.0037292,171.28,54.365,-150
-0.00056116,169.67,55.089,-150
-0.0003763,168.03,55.755,-150
0.00027065,166.37,56.364,-150
0.00014721,164.69,56.913,-150
-0.0008004,162.99,57.402,-150
-0.00023738,161.28,57.831,-150
0.0004796,159.55,58.199,-150
-0.00041407,157.81,58.506,-150
0.0004815,156.06,58.751,-150
0.00076185,154.3,58.934,-150
0.00076816,152.54,59.056,-150
0.00070143,150.77,59.114,-150
0.00082781,149.01,59.11,-150
0.0010094,147.24,59.044,-150
0.0010241,145.48,58.915,-150
0.0004938,143.72,58.724,-150
0.00084183,141.97,58.471,-150
0.00071903,140.23,58.157,-150
-0.00026632,138.5,57.781,-150
0.00036493,136.79,57.344,-150
-6.256e-05,135.1,56.847,-150
0.00047779,133.42,56.291,-150
0.0001318,131.76,55.675,-150
0.0026666,130.13,55.002,-150
0.001034,128.52,54.271,-150
-0.00073692,126.94,53.483,-150
-0.0022825,125.38,52.641,-150
0.0004054,123.86,51.743,-150
0.0018744,122.37,50.793,-150
-0.0017286,120.92,49.791,-150
0.002684,119.5,48.737,-150
0.00085641,118.12,47.634,-150
0.0011373,116.77,46.483,-150
0.0011816,115.47,45.286,-150
0.0010159,114.22,44.043,-150
0.00080471,113.01,42.757,-150
0.0012288,111.84,41.428,-150
-0.00020711,110.72,40.059,-150
0.00086515,109.65,38.652,-150
0.0013872,108.63,37.208,-150
0.0019651,107.67,35.728,-150
0.00093227,106.75,34.216,-150
0.0032794,105.89,32.672,-150
-0.00054234,105.09,31.098,-150
-0.00021371,104.34,29.497,-150
-0.0011408,103.65,27.871,-150
0.00073211,103.02,26.221,-150
