"p","Points:0","Points:1","Points:2"
0.00036751,10,75.3,-150
-0.00054551,20,71.33,-150
0.00042045,30,66.42,-150
-0.00031229,40,61.28,-150
-7.4524e-05,50,55.96,-150
-0.00078565,60,48.96,-150
0.0011012,70,42.31,-150
-0.00040729,80,35.99,-150
-0.001477,90,29.6,-150
0.0011791,100,23.58,-150
-0.00078945,110,19.46,-150
0.00054559,120,15.95,-150
-0.00032973,130,12.56,-150
0.00041103,170,6.28,-150
-0.00027161,180,5.33,-150
-0.00012944,190,4.55,-150
0.00021767,200,3.69,-150
-0.00028583,210,2.91,-150
-0.00019075,220,2.57,-150
-0.00011288,230,2.34,-150
0.0003484,240,2.58,-150
-0.00034426,250,2.46,-150
0.0001737,260,2.35,-150
7.264e-05,270,2.36,-150
-0.00026019,280,2.75,-150
-8.4913e-05,290,3.24,-150
-2.0668e-05,10,76.8,-150
9.182e-05,20,72.83,-150
0.00061042,30,67.92,-150
-0.00034539,40,62.78,-150
-7.5326e-05,50,57.46,-150
0.00029624,60,50.46,-150
0.00027951,70,43.81,-150
-0.00054693,80,37.49,-150
-0.00036494,90,31.1,-150
0.00095996,100,25.08,-150
-0.00048988,110,20.96,-150
-0.0011987,120,17.45,-150
-0.0017327,130,14.06,-150
-0.00025122,170,7.78,-150
0.00019301,180,6.83,-150
0.0002553,190,6.05,-150
-0.00015193,200,5.19,-150
-0.00036954,210,4.41,-150
-9.6859e-05,220,4.07,-150
0.00018364,230,3.84,-150
0.00022068,240,4.08,-150
-0.00022726,250,3.96,-150
6.2672e-05,260,3.85,-150
1.8178e-05,270,3.86,-150
-0.00015819,280,4.25,-150
-7.7385e-05,290,4.74,-150
-0.00031007,10,78.8,-150
0.00074523,20,74.83,-150
-0.00019171,30,69.92,-150
-0.00018863,40,64.78,-150
-0.0004016,50,59.46,-150
1.1247e-06,60,52.46,-150
-0.00088954,70,45.81,-150
0.00015712,80,39.49,-150
-0.00034443,90,33.1,-150
0.00088328,100,27.08,-150
-0.0013664,110,22.96,-150
-0.0020011,120,19.45,-150
0.0012068,130,16.06,-150
0.00056049,170,9.78,-150
-0.00018788,180,8.83,-150
-0.00014395,190,8.05,-150
-2.3262e-05,200,7.19,-150
-0.00037076,210,6.41,-150
-2.3341e-06,220,6.07,-150
-0.00030406,230,5.84,-150
-0.00010482,240,6.08,-150
4.6506e-05,250,5.96,-150
-0.00012358,260,5.85,-150
-4.2249e-05,270,5.86,-150
3.7774e-06,280,6.25,-150
0.0001062,290,6.74,-150
0.00062581,10,83.8,-150
-0.00032295,20,79.83,-150
-3.4866e-05,30,74.92,-150
-1.0786e-05,40,69.78,-150
3.5453e-08,50,64.46,-150
0.00023545,60,57.46,-150
-7.911e-05,70,50.81,-150
-0.0020877,80,44.49,-150
0.0003413,90,38.1,-150
-0.00020321,100,32.08,-150
0.0005323,110,27.96,-150
0.00061652,120,24.45,-150
-0.0043674,130,21.06,-150
0.0017467,170,14.78,-150
-0.00066877,180,13.83,-150
-0.00066413,190,13.05,-150
0.0008839,200,12.19,-150
0.00031218,210,11.41,-150
0.00028725,220,11.07,-150
-0.0001682,230,10.84,-150
-4.0763e-05,240,11.08,-150
0.00040715,250,10.96,-150
-7.2189e-05,260,10.85,-150
0.0002051,270,10.86,-150
0.0001297,280,11.25,-150
0.00055609,290,11.74,-150
0.00019356,10,93.8,-150
0.00041403,20,89.83,-150
0.00015115,30,84.92,-150
-0.00048442,40,79.78,-150
0.00014723,50,74.46,-150
-0.00027667,60,67.46,-150
0.00016867,70,60.81,-150
-0.00032324,80,54.49,-150
-0.00072201,90,48.1,-150
0.0021067,100,42.08,-150
0.00051646,110,37.96,-150
0.005501,120,34.45,-150
-0.0063965,130,31.06,-150
-0.0019983,170,24.78,-150
-0.00099791,180,23.83,-150
-0.0013395,190,23.05,-150
0.0005657,200,22.19,-150
-0.00037219,210,21.41,-150
0.00052646,220,21.07,-150
-0.00079017,230,20.84,-150
0.00033741,240,21.08,-150
-9.6892e-05,250,20.96,-150
1.127e-05,260,20.85,-150
-0.00034318,270,20.86,-150
0.00029464,280,21.25,-150
0.00012448,290,21.74,-150
