"p","Points:0","Points:1","Points:2"
0.00069693,250,9.12,-150
0.00054201,249.94,12.656,-150
-0.00013525,249.75,16.187,-150
-0.00043174,249.44,19.71,-150
-0.00034452,249,23.219,-150
0.00032182,248.44,26.711,-150
-0.00055856,247.76,30.181,-150
8.1255e-05,246.95,33.624,-150
-0.00030412,246.02,37.037,-150
-0.00044998,244.98,40.415,-150
-0.00059479,243.81,43.753,-150
-0.00068479,242.53,47.049,-150
-0.00038875,241.13,50.297,-150
0.00099653,239.62,53.493,-150
0.00047665,237.99,56.634,-150
0.00053499,236.26,59.715,-150
0.0013004,234.41,62.734,-150
0.00068294,232.46,65.685,-150
0.00032572,230.41,68.565,-150
-0.00020857,228.26,71.371,-150
-0.00060135,226.01,74.1,-150
0.0011185,223.67,76.747,-150
0.001586,221.23,79.309,-150
-4.3492e-05,218.7,81.784,-150
0.00022345,216.09,84.168,-150
0.00062197,213.39,86.457,-150
0.0013083,210.62,88.651,-150
0.0010001,207.77,90.744,-150
0.00072791,204.85,92.736,-150
0.00041446,201.86,94.623,-150
0.00019063,198.8,96.403,-150
-0.000141,195.69,98.074,-150
0.00029907,192.51,99.634,-150
9.3892e-05,189.28,101.08,-150
6.6812e-05,186.01,102.41,-150
0.00048869,182.69,103.63,-150
1.1561e-05,179.32,104.72,-150
0.00030924,175.93,105.7,-150
0.00013747,172.5,106.56,-150
0.00018419,169.04,107.29,-150
0.00015709,165.55,107.9,-150
0.00022955,162.05,108.39,-150
0.00015436,158.53,108.76,-150
-1.2582e-05,155,108.99,-150
-0.00011874,151.47,109.11,-150
-0.00012866,147.93,109.1,-150
3.2994e-05,144.4,108.96,-150
0.00026972,140.87,108.7,-150
-6.6323e-05,137.36,108.32,-150
0.00078473,133.86,107.81,-150
0.0002873,130.38,107.18,-150
3.3006e-05,126.92,106.42,-150
0.00015888,123.5,105.54,-150
0.00064205,120.1,104.55,-150
1.0372e-05,116.75,103.43,-150
8.7784e-05,113.44,102.2,-150
0.00079408,110.17,100.84,-150
2.5246e-05,106.95,99.379,-150
0.00034655,103.78,97.8,-150
0.00044591,100.68,96.11,-150
5.7412e-05,97.633,94.312,-150
0.00059315,94.653,92.407,-150
0.00035015,91.743,90.398,-150
0.00061459,88.906,88.287,-150
0.00046438,86.144,86.078,-150
0.00042046,83.463,83.772,-150
0.00046213,80.865,81.372,-150
0.0001985,78.354,78.883,-150
0.00085118,75.932,76.306,-150
0.00030049,73.603,73.645,-150
0.00031805,71.369,70.903,-150
-6.083e-05,69.234,68.084,-150
0.00035033,67.199,65.192,-150
0.00015691,65.268,62.229,-150
0.00025033,63.443,59.2,-150
0.00011252,61.727,56.108,-150
-2.8456e-05,60.121,52.957,-150
-0.00072787,200,9.12,-150
-0.0012447,199.97,10.887,-150
-0.00096308,199.88,12.652,-150
6.9787e-05,199.72,14.412,-150
0.0013775,199.5,16.166,-150
0.0024267,199.22,17.911,-150
0.0012955,198.88,19.645,-150
0.00043408,198.48,21.366,-150
-0.00061574,198.01,23.072,-150
-0.0014575,197.49,24.76,-150
0.00021876,196.91,26.428,-150
-0.0024047,196.27,28.075,-150
-0.0007845,195.57,29.699,-150
0.0011913,194.81,31.296,-150
0.00081701,194,32.866,-150
0.00046842,193.13,34.406,-150
0.0002693,192.21,35.915,-150
0.00067791,191.24,37.39,-150
-0.0010196,190.22,38.83,-150
0.0019607,189.14,40.233,-150
0.00054663,188.02,41.597,-150
-0.0011119,186.85,42.92,-150
0.00081165,185.63,44.201,-150
-0.001469,184.37,45.438,-150
-0.0013402,183.06,46.63,-150
0.00035436,181.71,47.775,-150
-0.0019153,180.33,48.872,-150
0.003035,178.9,49.919,-150
0.00033304,177.44,50.915,-150
-0.0023545,175.95,51.858,-150
-0.0011715,174.42,52.749,-150
-0.0008365,172.87,53.585,-150
-0.0032482,171.28,54.365,-150
-0.00029125,169.67,55.089,-150
-0.00014833,168.03,55.755,-150
0.0003312,166.37,56.364,-150
1.0959e-05,164.69,56.913,-150
-0.00097194,162.99,57.402,-150
-0.00031817,161.28,57.831,-150
0.00051671,159.55,58.199,-150
-0.00055304,157.81,58.506,-150
0.00054004,156.06,58.751,-150
0.0010186,154.3,58.934,-150
0.0010857,152.54,59.056,-150
0.0010992,150.77,59.114,-150
0.00098852,149.01,59.11,-150
0.00087792,147.24,59.044,-150
0.00074752,145.48,58.915,-150
0.00038469,143.72,58.724,-150
0.00056805,141.97,58.471,-150
0.00073269,140.23,58.157,-150
-0.00023799,138.5,57.781,-150
0.00046057,136.79,57.344,-150
0.00023337,135.1,56.847,-150
0.00083745,133.42,56.291,-150
0.00012945,131.76,55.675,-150
0.002995,130.13,55.002,-150
0.0007805,128.52,54.271,-150
-0.00084728,126.94,53.483,-150
-0.0022385,125.38,52.641,-150
7.9668e-05,123.86,51.743,-150
0.0019145,122.37,50.793,-150
-0.0019048,120.92,49.791,-150
0.0018463,119.5,48.737,-150
0.00074506,118.12,47.634,-150
0.00096497,116.77,46.483,-150
0.0006282,115.47,45.286,-150
0.0021095,114.22,44.043,-150
0.00078788,113.01,42.757,-150
0.00058618,111.84,41.428,-150
0.0018747,110.72,40.059,-150
0.00041183,109.65,38.652,-150
0.00031239,108.63,37.208,-150
0.00044675,107.67,35.728,-150
0.0010324,106.75,34.216,-150
0.00073467,105.89,32.672,-150
0.00052541,105.09,31.098,-150
-0.00027091,104.34,29.497,-150
-0.00033819,103.65,27.871,-150
-0.00015692,103.02,26.221,-150
