"p","Points:0","Points:1","Points:2"
-0.00031583,10,75.3,-150
-2.3634e-06,20,71.33,-150
-0.00040909,30,66.42,-150
-0.00017484,40,61.28,-150
0.0002244,50,55.96,-150
-0.00080861,60,48.96,-150
-9.4894e-05,70,42.31,-150
0.00038586,80,35.99,-150
-1.2235e-05,90,29.6,-150
0.0004385,100,23.58,-150
-0.00012599,110,19.46,-150
-0.00042383,120,15.95,-150
-1.7368e-06,130,12.56,-150
-0.0011315,170,6.28,-150
0.0014195,180,5.33,-150
-0.0027902,190,4.55,-150
-0.0031477,200,3.69,-150
-0.0036933,210,2.91,-150
-0.00068224,220,2.57,-150
6.9618e-06,230,2.34,-150
-0.00039438,240,2.58,-150
0.0017789,250,2.46,-150
-0.0013171,260,2.35,-150
0.0013234,270,2.36,-150
-0.0016194,280,2.75,-150
0.00080256,290,3.24,-150
-1.4581e-05,10,76.8,-150
-0.00010709,20,72.83,-150
0.00056599,30,67.92,-150
0.00038303,40,62.78,-150
2.8783e-05,50,57.46,-150
-0.00027588,60,50.46,-150
-2.3531e-05,70,43.81,-150
0.00050456,80,37.49,-150
-8.5997e-05,90,31.1,-150
-0.00026399,100,25.08,-150
0.00017713,110,20.96,-150
-0.00059157,120,17.45,-150
-0.00010387,130,14.06,-150
-0.0033204,170,7.78,-150
0.0024493,180,6.83,-150
-0.0030179,190,6.05,-150
-0.0016373,200,5.19,-150
-0.0032308,210,4.41,-150
-0.00084112,220,4.07,-150
-0.0013446,230,3.84,-150
-0.00055992,240,4.08,-150
0.0017274,250,3.96,-150
-0.0014233,260,3.85,-150
0.0011793,270,3.86,-150
-0.0015737,280,4.25,-150
0.00049949,290,4.74,-150
0.00025854,10,78.8,-150
-0.00029169,20,74.83,-150
0.00043868,30,69.92,-150
-0.0001667,40,64.78,-150
0.00024723,50,59.46,-150
8.0047e-05,60,52.46,-150
0.00016383,70,45.81,-150
-3.7977e-05,80,39.49,-150
-0.00028037,90,33.1,-150
0.00057314,100,27.08,-150
6.4666e-05,110,22.96,-150
0.00021066,120,19.45,-150
0.00095319,130,16.06,-150
0.00079525,170,9.78,-150
0.0017266,180,8.83,-150
-0.0022132,190,8.05,-150
0.00024914,200,7.19,-150
-0.001947,210,6.41,-150
-0.00095473,220,6.07,-150
-0.00038093,230,5.84,-150
-0.00024067,240,6.08,-150
0.0013988,250,5.96,-150
-0.0016005,260,5.85,-150
0.00085768,270,5.86,-150
-0.0013653,280,6.25,-150
0.00016634,290,6.74,-150
0.00018334,10,83.8,-150
0.00011088,20,79.83,-150
-0.00020113,30,74.92,-150
0.00048067,40,69.78,-150
0.00061418,50,64.46,-150
0.00014772,60,57.46,-150
0.0002059,70,50.81,-150
0.00083435,80,44.49,-150
-0.0001436,90,38.1,-150
-0.00062938,100,32.08,-150
0.00015324,110,27.96,-150
0.0003378,120,24.45,-150
-0.001431,130,21.06,-150
-0.0027182,170,14.78,-150
0.0014025,180,13.83,-150
-4.9063e-05,190,13.05,-150
0.0022534,200,12.19,-150
0.00097427,210,11.41,-150
-0.00083223,220,11.07,-150
0.00035661,230,10.84,-150
6.4178e-05,240,11.08,-150
0.00028373,250,10.96,-150
-0.00036166,260,10.85,-150
-0.00049965,270,10.86,-150
-0.00034438,280,11.25,-150
-0.00039693,290,11.74,-150
2.2573e-05,10,93.8,-150
0.00023806,20,89.83,-150
-0.00019977,30,84.92,-150
-0.00048399,40,79.78,-150
0.00015365,50,74.46,-150
-0.001156,60,67.46,-150
-0.00012591,70,60.81,-150
0.00035547,80,54.49,-150
0.00066764,90,48.1,-150
-0.00071062,100,42.08,-150
-2.7558e-05,110,37.96,-150
0.0047111,120,34.45,-150
-0.0051056,130,31.06,-150
-0.0021002,170,24.78,-150
0.0018104,180,23.83,-150
2.015e-05,190,23.05,-150
-0.00053677,200,22.19,-150
-0.0014427,210,21.41,-150
-0.00047747,220,21.07,-150
-0.00029849,230,20.84,-150
0.00012985,240,21.08,-150
0.00037305,250,20.96,-150
0.00063671,260,20.85,-150
3.0883e-05,270,20.86,-150
0.00031053,280,21.25,-150
0.00042329,290,21.74,-150
