"p","Points:0","Points:1","Points:2"
0.00038807,250,9.12,-150
0.00028314,249.94,12.656,-150
0.00026938,249.75,16.187,-150
0.0004943,249.44,19.71,-150
0.00088259,249,23.219,-150
0.00018716,248.44,26.711,-150
-0.00046018,247.76,30.181,-150
9.0344e-05,246.95,33.624,-150
-0.00026538,246.02,37.037,-150
-0.00076944,244.98,40.415,-150
-0.0012477,243.81,43.753,-150
-0.0012357,242.53,47.049,-150
-0.0015151,241.13,50.297,-150
-0.00078291,239.62,53.493,-150
-0.00089301,237.99,56.634,-150
-0.0012539,236.26,59.715,-150
-0.00040381,234.41,62.734,-150
-0.00051961,232.46,65.685,-150
-0.0013437,230.41,68.565,-150
-0.00043497,228.26,71.371,-150
-0.00071433,226.01,74.1,-150
0.00086568,223.67,76.747,-150
0.0011751,221.23,79.309,-150
0.00019721,218.7,81.784,-150
0.00084782,216.09,84.168,-150
0.0001316,213.39,86.457,-150
0.00078569,210.62,88.651,-150
2.9013e-05,207.77,90.744,-150
0.00015385,204.85,92.736,-150
-4.2998e-05,201.86,94.623,-150
-0.00060516,198.8,96.403,-150
0.00071076,195.69,98.074,-150
0.00018962,192.51,99.634,-150
-0.00017304,189.28,101.08,-150
0.00012663,186.01,102.41,-150
-0.00046751,182.69,103.63,-150
-0.00024476,179.32,104.72,-150
-0.00019469,175.93,105.7,-150
-0.00047903,172.5,106.56,-150
-0.00054827,169.04,107.29,-150
-0.00045018,165.55,107.9,-150
-0.00028527,162.05,108.39,-150
-0.00026945,158.53,108.76,-150
-0.00049289,155,108.99,-150
-0.00060126,151.47,109.11,-150
-0.00059633,147.93,109.1,-150
-0.00038159,144.4,108.96,-150
-8.5232e-05,140.87,108.7,-150
-0.00069037,137.36,108.32,-150
0.00021217,133.86,107.81,-150
-3.0486e-05,130.38,107.18,-150
-0.00049443,126.92,106.42,-150
-0.00029612,123.5,105.54,-150
0.0002041,120.1,104.55,-150
-0.00080004,116.75,103.43,-150
-0.00027971,113.44,102.2,-150
0.00027457,110.17,100.84,-150
-0.00023274,106.95,99.379,-150
-0.00028118,103.78,97.8,-150
-0.00090309,100.68,96.11,-150
-0.00026779,97.633,94.312,-150
-0.0011016,94.653,92.407,-150
-0.00072454,91.743,90.398,-150
-0.0002576,88.906,88.287,-150
4.9012e-05,86.144,86.078,-150
-0.00055717,83.463,83.772,-150
0.00061872,80.865,81.372,-150
-0.00032746,78.354,78.883,-150
0.0018099,75.932,76.306,-150
0.00023002,73.603,73.645,-150
-0.00044779,71.369,70.903,-150
-0.0010595,69.234,68.084,-150
-0.00027819,67.199,65.192,-150
-0.0011404,65.268,62.229,-150
-0.00072634,63.443,59.2,-150
2.753e-05,61.727,56.108,-150
-0.0004272,60.121,52.957,-150
0.00057635,200,9.12,-150
0.00068476,199.97,10.887,-150
0.00048575,199.88,12.652,-150
0.00011517,199.72,14.412,-150
-0.00031522,199.5,16.166,-150
-0.00048587,199.22,17.911,-150
0.00033065,198.88,19.645,-150
0.00029756,198.48,21.366,-150
0.00035081,198.01,23.072,-150
-4.0563e-05,197.49,24.76,-150
-0.00016488,196.91,26.428,-150
-0.00057628,196.27,28.075,-150
-0.00027627,195.57,29.699,-150
0.00043851,194.81,31.296,-150
-0.00057138,194,32.866,-150
-0.0012471,193.13,34.406,-150
-0.0001815,192.21,35.915,-150
0.0008901,191.24,37.39,-150
-0.00046758,190.22,38.83,-150
0.00079143,189.14,40.233,-150
-0.00060913,188.02,41.597,-150
0.00066092,186.85,42.92,-150
0.00061957,185.63,44.201,-150
0.00020762,184.37,45.438,-150
-0.00044226,183.06,46.63,-150
-0.0013817,181.71,47.775,-150
0.00019286,180.33,48.872,-150
9.2435e-05,178.9,49.919,-150
-0.00067023,177.44,50.915,-150
-0.00052193,175.95,51.858,-150
0.00049586,174.42,52.749,-150
-0.00034211,172.87,53.585,-150
0.0025962,171.28,54.365,-150
-0.00069934,169.67,55.089,-150
-0.00069042,168.03,55.755,-150
-0.0001252,166.37,56.364,-150
0.00058205,164.69,56.913,-150
-0.00050673,162.99,57.402,-150
-0.00069796,161.28,57.831,-150
-0.00079276,159.55,58.199,-150
-0.00011886,157.81,58.506,-150
-4.3563e-05,156.06,58.751,-150
-0.0006849,154.3,58.934,-150
-0.001129,152.54,59.056,-150
-0.0013424,150.77,59.114,-150
-0.0010674,149.01,59.11,-150
-0.00090089,147.24,59.044,-150
-0.00027214,145.48,58.915,-150
0.00012898,143.72,58.724,-150
-0.00026833,141.97,58.471,-150
-0.00018923,140.23,58.157,-150
0.0012783,138.5,57.781,-150
-0.00080333,136.79,57.344,-150
0.00082256,135.1,56.847,-150
-0.0014393,133.42,56.291,-150
0.0001469,131.76,55.675,-150
-0.0027681,130.13,55.002,-150
-0.0010746,128.52,54.271,-150
-0.0010116,126.94,53.483,-150
0.00066097,125.38,52.641,-150
-0.0013739,123.86,51.743,-150
-0.0022323,122.37,50.793,-150
-0.0052983,120.92,49.791,-150
-0.001099,119.5,48.737,-150
-0.001059,118.12,47.634,-150
-0.0019084,116.77,46.483,-150
-0.0026273,115.47,45.286,-150
0.00059164,114.22,44.043,-150
0.00029508,113.01,42.757,-150
-0.0016772,111.84,41.428,-150
0.00032793,110.72,40.059,-150
0.00072605,109.65,38.652,-150
0.00066527,108.63,37.208,-150
9.5635e-05,107.67,35.728,-150
0.00011089,106.75,34.216,-150
0.0022829,105.89,32.672,-150
-0.00096298,105.09,31.098,-150
0.0023382,104.34,29.497,-150
-0.00093455,103.65,27.871,-150
0.00043314,103.02,26.221,-150
