"p","Points:0","Points:1","Points:2"
2.4428e-12,10,75.3,-150
1.378e-11,20,71.33,-150
-3.5428e-10,30,66.42,-150
2.1966e-09,40,61.28,-150
-1.4104e-08,50,55.96,-150
1.241e-07,60,48.96,-150
2.1076e-06,70,42.31,-150
2.2645e-05,80,35.99,-150
-1.4033e-05,90,29.6,-150
-0.00047277,100,23.58,-150
0.0023878,110,19.46,-150
0.0022731,120,15.95,-150
0.0015655,130,12.56,-150
0.0011798,170,6.28,-150
0.00030838,180,5.33,-150
0.0021263,190,4.55,-150
0.0014674,200,3.69,-150
0.00047198,210,2.91,-150
7.2406e-05,220,2.57,-150
-6.6466e-06,230,2.34,-150
-3.0023e-07,240,2.58,-150
-3.0258e-07,250,2.46,-150
-3.4919e-08,260,2.35,-150
2.6924e-09,270,2.36,-150
-1.9039e-10,280,2.75,-150
6.9353e-12,290,3.24,-150
3.1982e-13,10,76.8,-150
-2.1012e-11,20,72.83,-150
-3.4341e-11,30,67.92,-150
2.4879e-09,40,62.78,-150
-3.5127e-08,50,57.46,-150
-1.6819e-07,60,50.46,-150
2.7457e-06,70,43.81,-150
2.8445e-06,80,37.49,-150
-0.00018816,90,31.1,-150
0.0010913,100,25.08,-150
0.001206,110,20.96,-150
-0.002157,120,17.45,-150
-0.0010329,130,14.06,-150
0.0021214,170,7.78,-150
0.00060769,180,6.83,-150
0.0017928,190,6.05,-150
0.00098545,200,5.19,-150
0.00058733,210,4.41,-150
4.2943e-05,220,4.07,-150
-8.1008e-06,230,3.84,-150
-9.7327e-08,240,4.08,-150
-1.2063e-07,250,3.96,-150
2.2733e-09,260,3.85,-150
-4.6256e-10,270,3.86,-150
4.3166e-11,280,4.25,-150
-1.4691e-11,290,4.74,-150
-1.9975e-12,10,78.8,-150
5.8116e-11,20,74.83,-150
-2.8968e-10,30,69.92,-150
-4.631e-10,40,64.78,-150
3.976e-09,50,59.46,-150
1.2344e-07,60,52.46,-150
-9.0757e-07,70,45.81,-150
-1.0934e-05,80,39.49,-150
0.00027949,90,33.1,-150
-0.00038821,100,27.08,-150
0.00070235,110,22.96,-150
0.0025497,120,19.45,-150
-0.0018915,130,16.06,-150
-2.3717e-05,170,9.78,-150
0.0011868,180,8.83,-150
0.00083377,190,8.05,-150
-2.0571e-05,200,7.19,-150
0.00051545,210,6.41,-150
3.0465e-06,220,6.07,-150
8.1314e-07,230,5.84,-150
-6.2441e-07,240,6.08,-150
1.6008e-07,250,5.96,-150
4.3051e-08,260,5.85,-150
-4.2249e-09,270,5.86,-150
3.7462e-10,280,6.25,-150
-2.6205e-11,290,6.74,-150
-9.5732e-13,10,83.8,-150
4.1269e-12,20,79.83,-150
1.7633e-10,30,74.92,-150
-3.4916e-09,40,69.78,-150
2.0727e-08,50,64.46,-150
7.8094e-08,60,57.46,-150
-1.853e-06,70,50.81,-150
-1.034e-05,80,44.49,-150
6.5516e-05,90,38.1,-150
0.0015292,100,32.08,-150
7.8426e-06,110,27.96,-150
0.0023361,120,24.45,-150
-0.0040292,130,21.06,-150
0.0036771,170,14.78,-150
0.00068922,180,13.83,-150
-0.00050145,190,13.05,-150
-0.0003065,200,12.19,-150
0.00042222,210,11.41,-150
-2.3303e-05,220,11.07,-150
1.0093e-05,230,10.84,-150
4.2216e-07,240,11.08,-150
5.15e-08,250,10.96,-150
6.1726e-09,260,10.85,-150
-3.1494e-09,270,10.86,-150
1.7688e-10,280,11.25,-150
-7.3031e-12,290,11.74,-150
4.2563e-13,10,93.8,-150
-1.886e-12,20,89.83,-150
2.3057e-11,30,84.92,-150
4.0151e-10,40,79.78,-150
-7.523e-09,50,74.46,-150
1.0495e-08,60,67.46,-150
-6.4455e-09,70,60.81,-150
3.5678e-06,80,54.49,-150
5.1192e-06,90,48.1,-150
0.00033287,100,42.08,-150
-0.0025023,110,37.96,-150
-0.0046657,120,34.45,-150
0.0012153,130,31.06,-150
-0.0015089,170,24.78,-150
-0.0028509,180,23.83,-150
0.00057963,190,23.05,-150
0.00098001,200,22.19,-150
0.00059145,210,21.41,-150
3.5004e-05,220,21.07,-150
-6.1409e-06,230,20.84,-150
-3.1357e-07,240,21.08,-150
-1.8504e-07,250,20.96,-150
-1.2408e-08,260,20.85,-150
1.6377e-09,270,20.86,-150
-1.1577e-10,280,21.25,-150
6.3728e-13,290,21.74,-150
