"p","Points:0","Points:1","Points:2"
6.5643e-05,250,9.12,-150
0.00012533,249.94,12.656,-150
0.00020649,249.75,16.187,-150
0.0003332,249.44,19.71,-150
0.00016302,249,23.219,-150
-4.7582e-05,248.44,26.711,-150
-7.3152e-05,247.76,30.181,-150
-0.00014229,246.95,33.624,-150
-9.3271e-05,246.02,37.037,-150
-0.00010512,244.98,40.415,-150
-0.0001071,243.81,43.753,-150
-2.0683e-05,242.53,47.049,-150
1.3923e-05,241.13,50.297,-150
0.00029015,239.62,53.493,-150
-0.00034181,237.99,56.634,-150
-0.00053457,236.26,59.715,-150
-3.3145e-05,234.41,62.734,-150
-0.00025708,232.46,65.685,-150
8.3108e-05,230.41,68.565,-150
-0.00014632,228.26,71.371,-150
5.2134e-05,226.01,74.1,-150
0.00062962,223.67,76.747,-150
-0.00014291,221.23,79.309,-150
0.00032463,218.7,81.784,-150
-6.4265e-05,216.09,84.168,-150
-7.5291e-05,213.39,86.457,-150
0.00035604,210.62,88.651,-150
-0.00065674,207.77,90.744,-150
-0.0001344,204.85,92.736,-150
-0.00012809,201.86,94.623,-150
-0.00053663,198.8,96.403,-150
-7.4562e-05,195.69,98.074,-150
-0.00028913,192.51,99.634,-150
-0.00019302,189.28,101.08,-150
-0.00025665,186.01,102.41,-150
-0.00031632,182.69,103.63,-150
-0.0011627,179.32,104.72,-150
-0.0001283,175.93,105.7,-150
-0.00096314,172.5,106.56,-150
-0.00083571,169.04,107.29,-150
-0.00056996,165.55,107.9,-150
-0.00020444,162.05,108.39,-150
-0.00016195,158.53,108.76,-150
-0.00052966,155,108.99,-150
-0.00072004,151.47,109.11,-150
-0.00070804,147.93,109.1,-150
-0.00046214,144.4,108.96,-150
-8.3201e-05,140.87,108.7,-150
-0.00088808,137.36,108.32,-150
5.5134e-05,133.86,107.81,-150
0.0003022,130.38,107.18,-150
-0.0006734,126.92,106.42,-150
-0.00065835,123.5,105.54,-150
-0.00027441,120.1,104.55,-150
-0.0012548,116.75,103.43,-150
-0.00052394,113.44,102.2,-150
-6.25e-05,110.17,100.84,-150
-0.00065093,106.95,99.379,-150
-0.0002331,103.78,97.8,-150
-0.0008495,100.68,96.11,-150
-0.0005213,97.633,94.312,-150
-0.00099706,94.653,92.407,-150
-0.00061308,91.743,90.398,-150
-0.0015193,88.906,88.287,-150
-0.00093868,86.144,86.078,-150
-0.00091108,83.463,83.772,-150
6.3022e-05,80.865,81.372,-150
-0.00078991,78.354,78.883,-150
0.00099472,75.932,76.306,-150
2.7751e-05,73.603,73.645,-150
-0.00021858,71.369,70.903,-150
-0.0013104,69.234,68.084,-150
-0.00030368,67.199,65.192,-150
-0.00033478,65.268,62.229,-150
-0.00032277,63.443,59.2,-150
0.00059961,61.727,56.108,-150
0.0001955,60.121,52.957,-150
0.00062978,200,9.12,-150
0.00060357,199.97,10.887,-150
0.00019927,199.88,12.652,-150
0.00033112,199.72,14.412,-150
-0.00030298,199.5,16.166,-150
0.00053768,199.22,17.911,-150
-0.0005675,198.88,19.645,-150
-0.00030295,198.48,21.366,-150
-0.00031827,198.01,23.072,-150
-0.0001564,197.49,24.76,-150
-0.0007305,196.91,26.428,-150
-0.00032451,196.27,28.075,-150
-0.0001285,195.57,29.699,-150
-0.0014388,194.81,31.296,-150
-0.0021865,194,32.866,-150
-0.0014335,193.13,34.406,-150
-0.00096606,192.21,35.915,-150
-0.0015029,191.24,37.39,-150
-0.0012121,190.22,38.83,-150
-0.0013335,189.14,40.233,-150
0.0022033,188.02,41.597,-150
-0.00063319,186.85,42.92,-150
-0.00028053,185.63,44.201,-150
0.0030417,184.37,45.438,-150
0.0014918,183.06,46.63,-150
0.0044964,181.71,47.775,-150
0.00024772,180.33,48.872,-150
0.0030942,178.9,49.919,-150
0.00097456,177.44,50.915,-150
0.0046908,175.95,51.858,-150
0.0010738,174.42,52.749,-150
0.0029729,172.87,53.585,-150
0.00047266,171.28,54.365,-150
0.0030207,169.67,55.089,-150
0.0025852,168.03,55.755,-150
0.0025067,166.37,56.364,-150
0.0021436,164.69,56.913,-150
0.00087264,162.99,57.402,-150
9.2974e-05,161.28,57.831,-150
-0.00033946,159.55,58.199,-150
0.00051168,157.81,58.506,-150
0.0010808,156.06,58.751,-150
0.0014465,154.3,58.934,-150
0.00159,152.54,59.056,-150
0.0016929,150.77,59.114,-150
0.0020039,149.01,59.11,-150
0.0023105,147.24,59.044,-150
0.0019375,145.48,58.915,-150
0.0012963,143.72,58.724,-150
0.00059088,141.97,58.471,-150
-0.00065814,140.23,58.157,-150
0.00095473,138.5,57.781,-150
0.00050649,136.79,57.344,-150
0.00031946,135.1,56.847,-150
0.0018862,133.42,56.291,-150
0.00081811,131.76,55.675,-150
0.0034173,130.13,55.002,-150
0.0019404,128.52,54.271,-150
0.00098421,126.94,53.483,-150
-0.00056059,125.38,52.641,-150
0.0011517,123.86,51.743,-150
