"p","Points:0","Points:1","Points:2"
-0.00022259,10,75.3,-150
-0.00092008,20,71.33,-150
3.3781e-05,30,66.42,-150
-0.00056626,40,61.28,-150
-0.0026633,50,55.96,-150
0.0017984,60,48.96,-150
0.00065465,70,42.31,-150
0.00035134,80,35.99,-150
-0.00037983,90,29.6,-150
-0.002407,100,23.58,-150
-0.00096384,110,19.46,-150
0.0031005,120,15.95,-150
0.0025049,130,12.56,-150
-0.00034906,170,6.28,-150
0.00060547,180,5.33,-150
0.00020144,190,4.55,-150
0.00015551,200,3.69,-150
-7.3123e-05,210,2.91,-150
0.00011027,220,2.57,-150
0.00018715,230,2.34,-150
-0.00020419,240,2.58,-150
-0.00024529,250,2.46,-150
-0.00031428,260,2.35,-150
3.8074e-05,270,2.36,-150
9.0141e-05,280,2.75,-150
-9.1338e-05,290,3.24,-150
-0.00013348,10,76.8,-150
-0.00071428,20,72.83,-150
0.0012759,30,67.92,-150
-9.6191e-05,40,62.78,-150
-0.00073769,50,57.46,-150
0.00019272,60,50.46,-150
-0.00038206,70,43.81,-150
0.00091251,80,37.49,-150
0.00058694,90,31.1,-150
-0.0018781,100,25.08,-150
-0.0021595,110,20.96,-150
-0.004473,120,17.45,-150
0.0039111,130,14.06,-150
0.00092865,170,7.78,-150
0.00030233,180,6.83,-150
-0.0003995,190,6.05,-150
8.7295e-05,200,5.19,-150
8.7976e-06,210,4.41,-150
2.1792e-05,220,4.07,-150
6.2568e-05,230,3.84,-150
-0.0001262,240,4.08,-150
-0.00020552,250,3.96,-150
-0.00020621,260,3.85,-150
4.3633e-05,270,3.86,-150
0.00010174,280,4.25,-150
-7.903e-05,290,4.74,-150
0.00046894,10,78.8,-150
0.00030567,20,74.83,-150
0.00073327,30,69.92,-150
0.00046156,40,64.78,-150
0.00020295,50,59.46,-150
1.9849e-05,60,52.46,-150
-0.0019974,70,45.81,-150
-0.00035176,80,39.49,-150
-0.00042392,90,33.1,-150
-0.00047482,100,27.08,-150
0.00030226,110,22.96,-150
0.00027813,120,19.45,-150
0.0016946,130,16.06,-150
-0.00066133,170,9.78,-150
-0.00079105,180,8.83,-150
0.00031534,190,8.05,-150
-0.00023208,200,7.19,-150
1.8127e-05,210,6.41,-150
-3.951e-05,220,6.07,-150
0.00012573,230,5.84,-150
-0.0001368,240,6.08,-150
-0.00013253,250,5.96,-150
1.1797e-05,260,5.85,-150
-1.429e-06,270,5.86,-150
9.4054e-05,280,6.25,-150
-0.00010353,290,6.74,-150
-0.00013712,10,83.8,-150
-0.00010773,20,79.83,-150
-4.3204e-05,30,74.92,-150
0.00076351,40,69.78,-150
0.00059126,50,64.46,-150
0.0010363,60,57.46,-150
-0.0016051,70,50.81,-150
0.0010639,80,44.49,-150
-0.00015102,90,38.1,-150
-0.0023743,100,32.08,-150
-0.00066004,110,27.96,-150
-0.0019647,120,24.45,-150
0.001869,130,21.06,-150
0.00047339,170,14.78,-150
-0.00058543,180,13.83,-150
-0.00037803,190,13.05,-150
-0.00056091,200,12.19,-150
-2.0704e-05,210,11.41,-150
0.00014446,220,11.07,-150
5.493e-05,230,10.84,-150
5.5886e-05,240,11.08,-150
8.8651e-05,250,10.96,-150
-6.589e-06,260,10.85,-150
-4.4021e-05,270,10.86,-150
-6.4524e-05,280,11.25,-150
-0.00014205,290,11.74,-150
0.00043363,10,93.8,-150
0.00039495,20,89.83,-150
7.446e-05,30,84.92,-150
0.00073497,40,79.78,-150
-8.3766e-05,50,74.46,-150
-0.00021751,60,67.46,-150
0.00041657,70,60.81,-150
-4.5705e-05,80,54.49,-150
-3.0111e-05,90,48.1,-150
0.00044488,100,42.08,-150
-0.0023049,110,37.96,-150
-0.0035286,120,34.45,-150
0.0052398,130,31.06,-150
-0.0025137,170,24.78,-150
-0.0016905,180,23.83,-150
0.00092029,190,23.05,-150
-0.0006226,200,22.19,-150
-0.00010803,210,21.41,-150
-5.8672e-05,220,21.07,-150
-0.0001247,230,20.84,-150
0.00011734,240,21.08,-150
9.6298e-06,250,20.96,-150
0.00014491,260,20.85,-150
-0.00025566,270,20.86,-150
-0.00010362,280,21.25,-150
-3.274e-05,290,21.74,-150
